Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\django\core\cache\backends\db.py                                               139    117    16%
myvenv\Lib\site-packages\django\core\cache\backends\locmem.py                                           106     80    25%
myvenv\Lib\site-packages\django\core\cache\utils.py                                                      10      5    50%
myvenv\Lib\site-packages\django\core\checks\__init__.py                                                  11      0   100%
myvenv\Lib\site-packages\django\core\checks\caches.py                                                     8      1    88%
myvenv\Lib\site-packages\django\core\checks\database.py                                                   7      4    43%
myvenv\Lib\site-packages\django\core\checks\messages.py                                                  47     17    64%
myvenv\Lib\site-packages\django\core\checks\model_checks.py                                              64     43    33%
myvenv\Lib\site-packages\django\core\checks\registry.py                                                  52      4    92%
myvenv\Lib\site-packages\django\core\checks\security\__init__.py                                          0      0   100%
myvenv\Lib\site-packages\django\core\checks\security\base.py                                             55     25    55%
myvenv\Lib\site-packages\django\core\checks\security\csrf.py                                             12      5    58%
myvenv\Lib\site-packages\django\core\checks\security\sessions.py                                         36     20    44%
myvenv\Lib\site-packages\django\core\checks\templates.py                                                 22      5    77%
myvenv\Lib\site-packages\django\core\checks\urls.py                                                      54     14    74%
myvenv\Lib\site-packages\django\core\exceptions.py                                                       89     47    47%
myvenv\Lib\site-packages\django\core\files\__init__.py                                                    2      0   100%
myvenv\Lib\site-packages\django\core\files\base.py                                                      106     76    28%
myvenv\Lib\site-packages\django\core\files\images.py                                                     44     36    18%
myvenv\Lib\site-packages\django\core\files\locks.py                                                      57     27    53%
myvenv\Lib\site-packages\django\core\files\move.py                                                       42     35    17%
myvenv\Lib\site-packages\django\core\files\storage.py                                                   184    110    40%
myvenv\Lib\site-packages\django\core\files\temp.py                                                       33     19    42%
myvenv\Lib\site-packages\django\core\files\uploadedfile.py                                               57     32    44%
myvenv\Lib\site-packages\django\core\files\uploadhandler.py                                              73     41    44%
myvenv\Lib\site-packages\django\core\files\utils.py                                                      37     17    54%
myvenv\Lib\site-packages\django\core\handlers\__init__.py                                                 0      0   100%
myvenv\Lib\site-packages\django\core\handlers\base.py                                                   101     36    64%
myvenv\Lib\site-packages\django\core\handlers\exception.py                                               61     41    33%
myvenv\Lib\site-packages\django\core\handlers\wsgi.py                                                   138     62    55%
myvenv\Lib\site-packages\django\core\mail\__init__.py                                                    32     22    31%
myvenv\Lib\site-packages\django\core\mail\message.py                                                    253    192    24%
myvenv\Lib\site-packages\django\core\mail\utils.py                                                        9      4    56%
myvenv\Lib\site-packages\django\core\management\__init__.py                                             171     84    51%
myvenv\Lib\site-packages\django\core\management\base.py                                                 209     78    63%
myvenv\Lib\site-packages\django\core\management\color.py                                                 31      5    84%
myvenv\Lib\site-packages\django\core\management\commands\__init__.py                                      0      0   100%
myvenv\Lib\site-packages\django\core\management\commands\check.py                                        29      8    72%
myvenv\Lib\site-packages\django\core\management\commands\createcachetable.py                             67     45    33%
myvenv\Lib\site-packages\django\core\management\commands\migrate.py                                     160     86    46%
myvenv\Lib\site-packages\django\core\management\commands\test.py                                         31      3    90%
myvenv\Lib\site-packages\django\core\management\sql.py                                                   23      8    65%
myvenv\Lib\site-packages\django\core\paginator.py                                                       100     64    36%
myvenv\Lib\site-packages\django\core\serializers\__init__.py                                            107     25    77%
myvenv\Lib\site-packages\django\core\serializers\base.py                                                109     43    61%
myvenv\Lib\site-packages\django\core\serializers\json.py                                                 75     36    52%
myvenv\Lib\site-packages\django\core\serializers\python.py                                              113     82    27%
myvenv\Lib\site-packages\django\core\serializers\pyyaml.py                                               41     37    10%
myvenv\Lib\site-packages\django\core\serializers\xml_serializer.py                                      217    172    21%
myvenv\Lib\site-packages\django\core\servers\__init__.py                                                  0      0   100%
myvenv\Lib\site-packages\django\core\servers\basehttp.py                                                 89     61    31%
myvenv\Lib\site-packages\django\core\signals.py                                                           5      0   100%
myvenv\Lib\site-packages\django\core\signing.py                                                          89     55    38%
myvenv\Lib\site-packages\django\core\validators.py                                                      273    133    51%
myvenv\Lib\site-packages\django\core\wsgi.py                                                              5      2    60%
myvenv\Lib\site-packages\django\db\__init__.py                                                           24      5    79%
myvenv\Lib\site-packages\django\db\backends\__init__.py                                                   0      0   100%
myvenv\Lib\site-packages\django\db\backends\base\__init__.py                                              0      0   100%
myvenv\Lib\site-packages\django\db\backends\base\base.py                                                310     86    72%
myvenv\Lib\site-packages\django\db\backends\base\client.py                                                6      1    83%
myvenv\Lib\site-packages\django\db\backends\base\creation.py                                            121     38    69%
myvenv\Lib\site-packages\django\db\backends\base\features.py                                            115     18    84%
myvenv\Lib\site-packages\django\db\backends\base\introspection.py                                        75     49    35%
myvenv\Lib\site-packages\django\db\backends\base\operations.py                                          231    123    47%
myvenv\Lib\site-packages\django\db\backends\base\schema.py                                              491    175    64%
myvenv\Lib\site-packages\django\db\backends\base\validation.py                                           14      6    57%
myvenv\Lib\site-packages\django\db\backends\ddl_references.py                                            91     28    69%
myvenv\Lib\site-packages\django\db\backends\postgresql\__init__.py                                        0      0   100%
myvenv\Lib\site-packages\django\db\backends\postgresql\base.py                                          125     19    85%
myvenv\Lib\site-packages\django\db\backends\postgresql\client.py                                         42     32    24%
myvenv\Lib\site-packages\django\db\backends\postgresql\creation.py                                       45     26    42%
myvenv\Lib\site-packages\django\db\backends\postgresql\features.py                                       47      6    87%
myvenv\Lib\site-packages\django\db\backends\postgresql\introspection.py                                  65     38    42%
myvenv\Lib\site-packages\django\db\backends\postgresql\operations.py                                    134     81    40%
myvenv\Lib\site-packages\django\db\backends\postgresql\schema.py                                         51     14    73%
myvenv\Lib\site-packages\django\db\backends\postgresql\utils.py                                           5      3    40%
myvenv\Lib\site-packages\django\db\backends\signals.py                                                    2      0   100%
myvenv\Lib\site-packages\django\db\backends\utils.py                                                    148     85    43%
myvenv\Lib\site-packages\django\db\migrations\__init__.py                                                 2      0   100%
myvenv\Lib\site-packages\django\db\migrations\autodetector.py                                           596    544     9%
myvenv\Lib\site-packages\django\db\migrations\exceptions.py                                              26      5    81%
myvenv\Lib\site-packages\django\db\migrations\executor.py                                               204    127    38%
myvenv\Lib\site-packages\django\db\migrations\graph.py                                                  219    103    53%
myvenv\Lib\site-packages\django\db\migrations\loader.py                                                 164     62    62%
myvenv\Lib\site-packages\django\db\migrations\migration.py                                               83     43    48%
myvenv\Lib\site-packages\django\db\migrations\operations\__init__.py                                      4      0   100%
myvenv\Lib\site-packages\django\db\migrations\operations\base.py                                         37     14    62%
myvenv\Lib\site-packages\django\db\migrations\operations\fields.py                                      174     96    45%
myvenv\Lib\site-packages\django\db\migrations\operations\models.py                                      407    256    37%
myvenv\Lib\site-packages\django\db\migrations\operations\special.py                                     121     78    36%
myvenv\Lib\site-packages\django\db\migrations\operations\utils.py                                         7      2    71%
myvenv\Lib\site-packages\django\db\migrations\optimizer.py                                               25     22    12%
myvenv\Lib\site-packages\django\db\migrations\questioner.py                                             125     95    24%
myvenv\Lib\site-packages\django\db\migrations\recorder.py                                                42      6    86%
myvenv\Lib\site-packages\django\db\migrations\serializer.py                                             269    191    29%
myvenv\Lib\site-packages\django\db\migrations\state.py                                                  341    124    64%
myvenv\Lib\site-packages\django\db\migrations\topological_sort.py                                        15     13    13%
myvenv\Lib\site-packages\django\db\migrations\utils.py                                                   11      4    64%
myvenv\Lib\site-packages\django\db\migrations\writer.py                                                 175    144    18%
myvenv\Lib\site-packages\django\db\models\__init__.py                                                    30      9    70%
myvenv\Lib\site-packages\django\db\models\aggregates.py                                                 126     74    41%
myvenv\Lib\site-packages\django\db\models\base.py                                                       843    432    49%
myvenv\Lib\site-packages\django\db\models\constants.py                                                    1      0   100%
myvenv\Lib\site-packages\django\db\models\deletion.py                                                   170    146    14%
myvenv\Lib\site-packages\django\db\models\expressions.py                                                806    511    37%
myvenv\Lib\site-packages\django\db\models\fields\__init__.py                                           1305    628    52%
myvenv\Lib\site-packages\django\db\models\fields\files.py                                               234    168    28%
myvenv\Lib\site-packages\django\db\models\fields\mixins.py                                               18     10    44%
myvenv\Lib\site-packages\django\db\models\fields\proxy.py                                                 6      3    50%
myvenv\Lib\site-packages\django\db\models\fields\related.py                                             723    246    66%
myvenv\Lib\site-packages\django\db\models\fields\related_descriptors.py                                 508    454    11%
myvenv\Lib\site-packages\django\db\models\fields\related_lookups.py                                      89     45    49%
myvenv\Lib\site-packages\django\db\models\fields\reverse_related.py                                     113     39    65%
myvenv\Lib\site-packages\django\db\models\functions\__init__.py                                           4      0   100%
myvenv\Lib\site-packages\django\db\models\functions\base.py                                             103     49    52%
myvenv\Lib\site-packages\django\db\models\functions\datetime.py                                         166     82    51%
myvenv\Lib\site-packages\django\db\models\functions\window.py                                            79     20    75%
myvenv\Lib\site-packages\django\db\models\indexes.py                                                     65     48    26%
myvenv\Lib\site-packages\django\db\models\lookups.py                                                    379    156    59%
myvenv\Lib\site-packages\django\db\models\manager.py                                                    100     10    90%
myvenv\Lib\site-packages\django\db\models\options.py                                                    423    101    76%
myvenv\Lib\site-packages\django\db\models\query.py                                                      980    644    34%
myvenv\Lib\site-packages\django\db\models\query_utils.py                                                179     96    46%
myvenv\Lib\site-packages\django\db\models\signals.py                                                     25      8    68%
myvenv\Lib\site-packages\django\db\models\sql\__init__.py                                                 5      0   100%
myvenv\Lib\site-packages\django\db\models\sql\compiler.py                                               817    492    40%
myvenv\Lib\site-packages\django\db\models\sql\constants.py                                               11      0   100%
myvenv\Lib\site-packages\django\db\models\sql\datastructures.py                                          77     26    66%
myvenv\Lib\site-packages\django\db\models\sql\query.py                                                 1077    615    43%
myvenv\Lib\site-packages\django\db\models\sql\subqueries.py                                             106     72    32%
myvenv\Lib\site-packages\django\db\models\sql\where.py                                                  130     67    48%
myvenv\Lib\site-packages\django\db\models\utils.py                                                       12      3    75%
myvenv\Lib\site-packages\django\db\transaction.py                                                       116     51    56%
myvenv\Lib\site-packages\django\db\utils.py                                                             180     57    68%
myvenv\Lib\site-packages\django\dispatch\__init__.py                                                      1      0   100%
myvenv\Lib\site-packages\django\dispatch\dispatcher.py                                                  120     22    82%
myvenv\Lib\site-packages\django\forms\__init__.py                                                         7      0   100%
myvenv\Lib\site-packages\django\forms\boundfield.py                                                     152    112    26%
myvenv\Lib\site-packages\django\forms\fields.py                                                         701    472    33%
myvenv\Lib\site-packages\django\forms\forms.py                                                          248    180    27%
myvenv\Lib\site-packages\django\forms\formsets.py                                                       223    166    26%
myvenv\Lib\site-packages\django\forms\models.py                                                         696    519    25%
myvenv\Lib\site-packages\django\forms\renderers.py                                                       34      9    74%
myvenv\Lib\site-packages\django\forms\utils.py                                                           93     60    35%
myvenv\Lib\site-packages\django\forms\widgets.py                                                        616    377    39%
myvenv\Lib\site-packages\django\http\__init__.py                                                          4      0   100%
myvenv\Lib\site-packages\django\http\cookie.py                                                           20      8    60%
myvenv\Lib\site-packages\django\http\multipartparser.py                                                 372    319    14%
